periode,categorie_produit,motif,secteur,ville_siege_social
2026-07,10010-Aliments/Boissons/Tabac,Pratique trompeuse ou déloyale,NA,Salaberry-de-Valleyfield
2026-07,10120-Automobiles neuves,Pratique trompeuse ou déloyale,Concessionnaires d'automobiles neuves//Services de location d'automobiles et de camions,Saint-Hyacinthe
2026-07,14040-Services de location d’un transport à court terme,Service à la clientèle / Absence de livraison / Non conformité,Concessionnaires d'automobiles d'occasion//Services de location d'automobiles et de camions,Mont-Royal
2026-07,10130-Automobiles d'occasion,Qualité des biens et services,Concessionnaires d'automobiles neuves,Victoriaville
2026-07,10010-Aliments/Boissons/Tabac,Mésentente avant l’achat liée au prix / au tarif,Supermarchés d'alimentation,Montréal
2026-07,10080-Petits appareils électroménagers,Qualité des biens et services,NA,NA
2026-07,10070-Appareils de chauffage et de climatisation,Pratique trompeuse ou déloyale,NA,NA
2026-07,10130-Automobiles d'occasion,Qualité des biens et services,Commerce de gros de bijoux et de montres//Concessionnaires d'automobiles d'occasion,Notre-Dame-de-l'Île-Perrot
2026-07,12090-Recouvrement de créances,Problème de facturation ou de recouvrement de créance,Bureaux de conseillers en gestion//Agences de recouvrement,Gatineau
2026-07,11080-Entretien et réparation de véhicules et autres moyens de transport,Problème de facturation ou de recouvrement de créance,Concessionnaires d'automobiles neuves,Laval
2026-07,10030-Outils  matériaux  articles d'entretien et végétaux,Pratique trompeuse ou déloyale,Autres types de commerce de gros de matériaux de constructio//Quincailleries,Boucherville
2026-07,10130-Automobiles d'occasion,Qualité des biens et services,Concessionnaires d'automobiles d'occasion,Saint-Constant
2026-07,11080-Entretien et réparation de véhicules et autres moyens de transport,Pratique trompeuse ou déloyale,NA,NA
2026-07,10130-Automobiles d'occasion,Qualité des biens et services,Concessionnaires d'automobiles d'occasion//Autres services aux entreprises,Saint-Eustache
2026-07,14030-Services d'infrastructures reliés au transport,Pratique trompeuse ou déloyale,Parcs et garages de stationnement,Laval
2026-07,12010-Prêt d'argent,Pratique trompeuse ou déloyale,Autres services,Toronto
2026-07,10130-Automobiles d'occasion,Qualité des biens et services,Concessionnaires d'automobiles d'occasion,SAINT-EUSTACHE (QUÉBEC)
2026-07,10090-Articles électroniques,Pratique trompeuse ou déloyale,Autres magasins de marchandises diverses,PICKERING
2026-07,11020-Services liés à la construction  l'entretien et à la rénovation de l'habitation,Pratique trompeuse ou déloyale,Plomberie,Saint-Laurent-de-l'Île-d'Orléans
2026-07,10070-Appareils de chauffage et de climatisation,Qualité des biens et services,Commerce de gros d'appareils ménagers électriques,Boucherville
2026-07,10040-Meubles,Qualité des biens et services,Autres types de commerce de détail,Edmonton
2026-07,14010-Transport aérien,Service à la clientèle / Absence de livraison / Non conformité,Transports aériens (vols réguliers ou nolisés)//Autres services relatifs aux transports aériens,Montréal
2026-07,10060-Gros appareils ménagers,Qualité des biens et services,Commerce de gros de matériel et fournitures de plomberie  de,Boucherville
2026-07,10040-Meubles,Service à la clientèle / Absence de livraison / Non conformité,Travaux d'excavation et de nivellement//Installation de piscines privées,Trois-Rivières
2026-07,10130-Automobiles d'occasion,Mésentente liée au contrat conclu,Concessionnaires d'automobiles d'occasion,Laval
2026-07,11020-Services liés à la construction  l'entretien et à la rénovation de l'habitation,Pratique trompeuse ou déloyale,Rénovation de bâtiments résidentiels,Saint-Hubert
2026-07,10130-Automobiles d'occasion,Pratique trompeuse ou déloyale,Concessionnaires d'automobiles neuves//Autres ateliers de réparation de véhicules automobiles,Mont-Royal
2026-07,15020-Voyages à forfait,Pratique trompeuse ou déloyale,Transports ferroviaires,Québec
2026-07,10060-Gros appareils ménagers,Service à la clientèle / Absence de livraison / Non conformité,NA,NA
2026-07,10130-Automobiles d'occasion,Qualité des biens et services,Concessionnaires d'automobiles neuves//Commerce de détail de fournitures pour la maison et pour l'a,Montréal
2026-07,10070-Appareils de chauffage et de climatisation,Qualité des biens et services,Commerce de détail de téléviseurs  de postes de radio et d'a,Vancouver
2026-07,10130-Automobiles d'occasion,Service à la clientèle / Absence de livraison / Non conformité,Concessionnaires d'automobiles d'occasion,Saint-Constant
2026-07,10060-Gros appareils ménagers,Qualité des biens et services,Commerce de détail d'appareils ménagers  de téléviseurs  de,Laval
2026-07,10060-Gros appareils ménagers,Qualité des biens et services,Commerce de détail de bois et de matériaux de construction,Toronto
2026-07,10130-Automobiles d'occasion,Qualité des biens et services,Commerce de gros d'automobiles//Concessionnaires d'automobiles d'occasion,NA
2026-07,10130-Automobiles d'occasion,Service à la clientèle / Absence de livraison / Non conformité,Concessionnaires d'automobiles neuves//Concessionnaires d'automobiles d'occasion,Levis
2026-07,10130-Automobiles d'occasion,Pratique trompeuse ou déloyale,Concessionnaires d'automobiles d'occasion,Laval
2026-07,10130-Automobiles d'occasion,Qualité des biens et services,Concessionnaires d'automobiles d'occasion,Pointe-Claire
2026-07,11020-Services liés à la construction  l'entretien et à la rénovation de l'habitation,Qualité des biens et services,Commerce de gros de matériel et fournitures de plomberie  de,Boucherville
2026-07,10140-Autres moyens de transport,Pratique trompeuse ou déloyale,Autres types de commerce de détail de véhicules de loisir//Autres ateliers de réparation de véhicules automobiles,Mirabel
2026-07,13030-Services de téléphonie mobile,Problème de facturation ou de recouvrement de créance,Câblovision,Montréal
2026-07,15040-Restaurants et bars,Pratique trompeuse ou déloyale,Autres types de commerce de gros,Vancouver
2026-07,15040-Restaurants et bars,Pratique trompeuse ou déloyale,Restaurants avec permis d'alcool,Montréal
2026-07,10010-Aliments/Boissons/Tabac,Mésentente avant l’achat liée au prix / au tarif,Autres types de commerce de gros de produits alimentaires//Supermarchés d'alimentation,TORONTO
2026-07,11080-Entretien et réparation de véhicules et autres moyens de transport,Problème de facturation ou de recouvrement de créance,Parcs et garages de stationnement,Vimont
2026-07,11030-Déménagement  entreposage et livraison,Service à la clientèle / Absence de livraison / Non conformité,Camionnage de marchandises ordinaires,Brampton
2026-07,10130-Automobiles d'occasion,Pratique trompeuse ou déloyale,Concessionnaires d'automobiles d'occasion,Laval
2026-07,11020-Services liés à la construction  l'entretien et à la rénovation de l'habitation,Mésentente liée au contrat conclu,Gestion de travaux de construction//Autres services spécialisés de design,Mont-Blanc
2026-07,10060-Gros appareils ménagers,Qualité des biens et services,Magasins d'appareils ménagers  de téléviseurs et d'autres ap,Montréal
2026-07,10060-Gros appareils ménagers,Qualité des biens et services,Autres types de commerce de machines  matériel et fourniture,Mississauga
2026-07,10130-Automobiles d'occasion,Qualité des biens et services,Concessionnaires d'automobiles d'occasion,Sainte-Thérèse
2026-07,10140-Autres moyens de transport,Mésentente avant l’achat liée au prix / au tarif,Commerce de détail de motocyclettes et de motoneiges//Autres types de commerce de détail de véhicules de loisir,Notre-Dame-de-Lourdes
2026-07,11080-Entretien et réparation de véhicules et autres moyens de transport,Problème de facturation ou de recouvrement de créance,Garages (réparations générales),Saint-Jérôme
2026-07,11080-Entretien et réparation de véhicules et autres moyens de transport,Mésentente avant l’achat liée au prix / au tarif,Concessionnaires d'automobiles d'occasion//Garages (réparations générales),Sainte-Agathe-des-Monts
2026-07,10120-Automobiles neuves,Pratique trompeuse ou déloyale,Concessionnaires d'automobiles d'occasion//Autres types de commerce de détail de véhicules de loisir,Westbury
2026-07,10120-Automobiles neuves,Pratique trompeuse ou déloyale,Concessionnaires d'automobiles neuves//Concessionnaires d'automobiles d'occasion,Pincourt
2026-07,10060-Gros appareils ménagers,Service à la clientèle / Absence de livraison / Non conformité,Autres services aux entreprises,Laval
2026-07,10090-Articles électroniques,Pratique trompeuse ou déloyale,Commerce de détail de téléviseurs  de postes de radio et d'a,Vancouver
2026-07,10130-Automobiles d'occasion,Pratique trompeuse ou déloyale,Concessionnaires d'automobiles neuves//Garages (réparations générales),Boucherville
2026-07,10070-Appareils de chauffage et de climatisation,Qualité des biens et services,Commerce de gros de matériel et fournitures de plomberie  de,Boucherville
2026-07,15050-Services liés aux sports  aux loisirs  à la culture et au conditionnement physique,Service à la clientèle / Absence de livraison / Non conformité,Sociétés de portefeuille (holdings),Québec
2026-07,18020-Cours de langue  leçons de conduite  cours relatifs aux sports  aux loisirs et autres passe-temps,Pratique trompeuse ou déloyale,Industrie du progiciel//Autres services d'enseignement,Bécancour
2026-07,10100-Articles des TIC (Technologies de l'information et de la communication),Service à la clientèle / Absence de livraison / Non conformité,Industrie des appareils d'éclairage pour immeubles//Industrie des lampes électriques (ampoules et tubes),Montréal
2026-07,15020-Voyages à forfait,Service à la clientèle / Absence de livraison / Non conformité,Organisations civiques et amicales,Montreal
2026-07,11020-Services liés à la construction  l'entretien et à la rénovation de l'habitation,Service à la clientèle / Absence de livraison / Non conformité,Plomberie,Lévis
2026-07,10150-Pièces de rechange  accessoires et carburants pour moyens de transports,Pratique trompeuse ou déloyale,Industrie des moteurs et pièces de moteurs de véhicules auto,Repentigny
2026-07,11020-Services liés à la construction  l'entretien et à la rénovation de l'habitation,Service à la clientèle / Absence de livraison / Non conformité,Travaux d'asphaltage,Carignan
2026-07,12090-Recouvrement de créances,Problème de facturation ou de recouvrement de créance,Agences de recouvrement,Mississauga
2026-06,10130-Automobiles d'occasion,Service à la clientèle / Absence de livraison / Non conformité,Commerce de gros d'automobiles,Montréal
2026-06,10130-Automobiles d'occasion,Mésentente liée au contrat conclu,NA,Montréal
2026-06,10130-Automobiles d'occasion,Pratique trompeuse ou déloyale,Concessionnaires d'automobiles d'occasion,Saint-Constant
2026-06,11020-Services liés à la construction  l'entretien et à la rénovation de l'habitation,Pratique trompeuse ou déloyale,Démolition//Location d'équipement  de matériel et d'outils,Fermont
2026-06,11020-Services liés à la construction  l'entretien et à la rénovation de l'habitation,Service à la clientèle / Absence de livraison / Non conformité,Commerce de détail de meubles de maison (avec appareils ména,Blainville
2026-06,10020-Vêtements  bijoux et accessoires,Qualité des biens et services,NA,NA
2026-06,10130-Automobiles d'occasion,Service à la clientèle / Absence de livraison / Non conformité,Concessionnaires d'automobiles d'occasion,Montréal
2026-06,13030-Services de téléphonie mobile,Service à la clientèle / Absence de livraison / Non conformité,Autres services,Toronto
2026-06,13030-Services de téléphonie mobile,Service à la clientèle / Absence de livraison / Non conformité,Autres services de télécommunications,Verdun
2026-06,10120-Automobiles neuves,Qualité des biens et services,Concessionnaires d'automobiles neuves//Garages (réparations générales),Sherbrooke
2026-06,10130-Automobiles d'occasion,Qualité des biens et services,Commerce de gros d'automobiles,Saint-Eustache
2026-06,10130-Automobiles d'occasion,Qualité des biens et services,Concessionnaires d'automobiles d'occasion,Mtl Nord
2026-06,10130-Automobiles d'occasion,Service à la clientèle / Absence de livraison / Non conformité,Concessionnaires d'automobiles d'occasion,Montréal-Est
2026-06,11020-Services liés à la construction  l'entretien et à la rénovation de l'habitation,Service à la clientèle / Absence de livraison / Non conformité,Travaux de peinture et de décoration,Markham
2026-06,10140-Autres moyens de transport,Qualité des biens et services,Grossistes-distributeurs de machines et de matériel pour l'a,Mirabel
2026-06,10130-Automobiles d'occasion,Pratique trompeuse ou déloyale,Services de location d'automobiles et de camions,Montréal
2026-06,10130-Automobiles d'occasion,Qualité des biens et services,Concessionnaires d'automobiles neuves,Québec
2026-06,10140-Autres moyens de transport,Qualité des biens et services,Autres types de commerce de détail de véhicules de loisir//Commerce de détail de jouets et d'articles de loisir,Québec
2026-06,10010-Aliments/Boissons/Tabac,Pratique trompeuse ou déloyale,Autres types de commerce de gros de produits alimentaires,Montréal
2026-06,10130-Automobiles d'occasion,Qualité des biens et services,Concessionnaires d'automobiles d'occasion//Services de location d'automobiles et de camions,Longueuil
2026-06,10130-Automobiles d'occasion,Service à la clientèle / Absence de livraison / Non conformité,Concessionnaires d'automobiles neuves//Concessionnaires d'automobiles d'occasion,Laval
2026-06,18010-Enseignement académique et formation continue,Pratique trompeuse ou déloyale,Enseignement de formation personnelle et populaire,Québec
2026-06,10010-Aliments/Boissons/Tabac,Mésentente avant l’achat liée au prix / au tarif,Exploitants de bâtiments non résidentiels,Québec
2026-06,10130-Automobiles d'occasion,Qualité des biens et services,Concessionnaires d'automobiles neuves,Québec
2026-06,11020-Services liés à la construction  l'entretien et à la rénovation de l'habitation,Mésentente liée au contrat conclu,Travaux d'électricité,Longueuil
2026-06,10100-Articles des TIC (Technologies de l'information et de la communication),Service à la clientèle / Absence de livraison / Non conformité,Cabanes à sucre//Autres services relatifs aux films et au domaine de l'audiov,Québec
2026-06,11120-Services de garde,Mésentente liée au contrat conclu,Autres clubs sportifs et services de loisirs,Laval
2026-06,10130-Automobiles d'occasion,Pratique trompeuse ou déloyale,Concessionnaires d'automobiles neuves,Donnacona
2026-06,10090-Articles électroniques,Qualité des biens et services,Autres types de commerce de machines  matériel et fourniture,Mississauga
2026-06,18020-Cours de langue  leçons de conduite  cours relatifs aux sports  aux loisirs et autres passe-temps,Mésentente liée au contrat conclu,Autres types de commerce de détail//Salons de beauté pour femmes,Québec
2026-06,11060-Nettoyage  réparation et location d'articles d'habillement,Service à la clientèle / Absence de livraison / Non conformité,NA,NA
